case_id,action,action_order,lower,upper,target,risk_score,coverage_point,coverage_floor,tuwr_point,tuwr_limit,chosen,pass_new,realized_errf
ordinary,Static,0,0,0.48892334409326821,0.40315759305564203,1.7668447123366431,0.90244361670997042,0.88,0.1784986284057456,0.34999999999999998,True,True,1.7405671049720353
ordinary,ACI,1,0,0.51388763635963675,0.40315759305564203,1.917358322602333,0.93750723014272475,0.88,0.081274827209060097,0.34999999999999998,False,True,1.8294399854403067
ordinary,AgACI,2,0,0.56388759478322781,0.40315759305564203,2.0420849689543408,0.94060798288073422,0.88,0.064479183888656796,0.34999999999999998,False,True,2.0074398374282909
ordinary,EnbPI-RH,3,0.00098573929373090008,0.48388763635963672,0.40315759305564203,1.8078369259544056,0.91998218455067082,0.88,0.12657773456282839,0.34999999999999998,False,True,1.7191307535546243
ordinary,TSC,4,0,0.49005597592563371,0.40315759305564203,1.861215353395381,0.93913409274603521,0.88,0.084475891078133705,0.34999999999999998,False,True,1.7445992742952563
ordinary,EEE,5,0.00024643482343269997,0.51264655289894234,0.40315759305564203,1.8662645822051969,0.91985031723964616,0.88,0.12485216475351631,0.34999999999999998,False,True,1.8241444203488144
ramp,Static,0,0.0730242460160795,0.96381236210568477,0.87097075280734404,3.0337622195283003,0.86362985231887357,0.88,0.19161814075976299,0.34999999999999998,False,False,3.1712056932789952
ramp,ACI,1,0.0780599537497111,0.95877665437205339,0.87097075280734404,3.2444274904219181,0.93184724249369721,0.88,0.091691209734773904,0.34999999999999998,False,True,3.135351454215539
ramp,AgACI,2,0.078059953748274194,0.95877665437349024,0.87097075280734404,3.296381789977445,0.93446160059539485,0.88,0.075681633262152007,0.34999999999999998,False,True,3.135351454225769
ramp,EnbPI-RH,3,0.073831982735711399,0.96300462538605325,0.87097075280734404,3.0823402349236786,0.89212647693327929,0.88,0.1335446636461208,0.34999999999999998,True,True,3.1654546078352164
ramp,TSC,4,0.067188650905215003,0.96964795721654962,0.87097075280734404,3.2159765831775622,0.92744703059277123,0.88,0.092868955061668396,0.34999999999999998,False,True,3.2127551304683504
ramp,EEE,5,0.075744034062443996,0.96109257405932036,0.87097075280734404,3.1502261879818136,0.899796095131981,0.88,0.13369726111474631,0.34999999999999998,False,True,3.1518408023888802
