case_id,action,action_order,lower,upper,target,risk_score,coverage_point,coverage_floor,tuwr_point,tuwr_limit,chosen,pass_new,realized_errf
ordinary,Static,0,0.0,0.48892334409326826,0.403157593055642,1.6966571547690907,0.9602722348544306,0.88,0.18246981954011385,0.35,True,True,1.7405671049720353
ordinary,ACI,1,0.0,0.5138876363596367,0.403157593055642,1.9732217517159534,0.9755217690209016,0.88,0.05330812734940936,0.35,False,True,1.829439985440307
ordinary,AgACI,2,0.0,0.5638875947832278,0.403157593055642,2.038280207221169,0.9666133791791253,0.88,0.06255120567492699,0.35,False,True,2.007439837428291
ordinary,EnbPI-RH,3,0.0009857392937309244,0.4838876363596367,0.403157593055642,1.7479836066344623,0.962856214182596,0.88,0.08668818151890259,0.35,False,True,1.7191307535546247
ordinary,TSC,4,0.0,0.49005597592563377,0.403157593055642,1.8830874942439926,0.9775605050045917,0.88,0.08652665587866014,0.35,False,True,1.7445992742952563
ordinary,EEE,5,0.0002464348234327311,0.5126465528989423,0.403157593055642,1.8574010213898908,0.9644208255189164,0.88,0.12206453629142408,0.35,False,True,1.824144420348814
ramp,Static,0,0.03242446247960182,0.6319901226349071,0.0869279184121872,2.0639010683519023,0.8480414897021402,0.88,0.2653944070205971,0.35,False,False,2.1344537501528866
ramp,ACI,1,0.0,0.6719544149012756,0.0869279184121872,2.338166604213707,0.9420117790018759,0.88,0.06664750809132634,0.35,False,True,2.392157717048541
ramp,AgACI,2,0.0,0.7048059398003932,0.0869279184121872,2.4026273584269435,0.9472245139003452,0.88,0.08690046857563886,0.35,False,True,2.5091091456893997
ramp,EnbPI-RH,3,0.03526668950319365,0.6291478956113152,0.0869279184121872,2.159009140578716,0.9091141738046322,0.88,0.1271599173576183,0.35,True,True,2.1142170937449127
ramp,TSC,4,0.009101344546307944,0.655313240568201,0.0869279184121872,2.259743124340134,0.940569847637809,0.88,0.08117226882500239,0.35,False,True,2.3005143498379392
ramp,EEE,5,0.016922787995698865,0.6594745932369728,0.0869279184121872,2.2194931539307343,0.9229507665725567,0.88,0.13792793220521593,0.35,False,True,2.287484426658935
